Commune;Bourgmestre;;Parti
Alveringem;Gerard Liefooghe;;GEMEENTEBELANGEN
Anzegem;Claude Van Marcke;;Samenéén
Ardooie;Karlos Callens;;Open Vld (GROEP 82)
Avelgem;Lieven Vantieghem;;CD&V
Beernem;Johan De Rycke;;CD&V
Blankenberge;Patrick De Klerck;;Open Vld
Bredene;Steve Vandenberghe;;sp.a
Bruges;Renaat Landuyt;;sp.a
Damme;Dirk Bisschop;;CD&V
Le Coq;Peter Breemersch;;bewust ' 12
La Panne;Ann Vanheste;;sp.a (DAS)
Deerlijk;Claude Croes;;CD&V
Dentergem;Koenraad Degroote;;N-VA (Eendracht)
Dixmude;Lies Laridon;;CD&V
Espierres-Helchin;Dirk Walraet;;LB
Furnes;Peter Roose;;VEURNE PLUS
Gistel;Bart Halewyck;;CD&V
Harelbeke;Alain Top;;sp.a (sp.a-Groen)
Heuvelland;Marc Lewyllie;;Gemeentebelangen
Hooglede;Rita Demaré;;CD&V
Houthulst;Ann Vansteenkiste;;CD&V
Ichtegem;Karl Bonny;;CD&V
Ingelmunster;Kurt Windels;;DE BRUG (DE BRUG/N-VA/VLD)
Izegem;Bert Maertens;;N-VA
Jabbeke;Daniël Vanhessche;;CD&V
Knokke-Heist;Graaf Leopold Lippens;;gemeentebelangen
Koekelare;Patrick Lansens;;sp.a
Coxyde (Koksijde);Marc Vanden Bussche;;Open Vld (LIJST BURGEMEESTER)
Kortemark;Toon Vancoillie;;Open Vld
Courtrai;Vincent Van Quickenborne;;Open Vld
Kuurne;Francis Benoit;;CD&V
Langemark-Poelkapelle;Alain Wyffels;;CD&V
Ledegem;Bart Dochy;;CD&V (CD&V/VD)
Lendelede;Carine Dewaele;;CD&V
Lichtervelde;Ria Beeusaert-Pattyn;;CD&V
Lo-Reninge;Lode Morlion;;CD&V (DYNAMISCH)
Menin;Martine Fournier;;CD&V
Messines;Sandy Evrard;;Open Vld (MLM)
Meulebeke;Dirk Verwilst;;CD&V
Middelkerke;Janna Rommel-Opstaele;;Open Vld
Moorslede;Ward Vergote;;VISIE
Nieuport;Roland Crabbe;;CD&V
Ostende;Jean Vandecasteele;;sp.a
Oostkamp;Luc Vanparys;;CD&V
Oostrozebeke;Jean Marie Bonte;;CD&V (CDV)
Oudenburg;Ignace Dereeper;;CD&V
Pittem;Ivan Delaere;;CD&V
Poperinge;Christof Dejaegher;;CD&V
Roulers;Luc Martens;;CD&V
Ruiselede;Greet De Roo;;RKD
Staden;Francesco Vanderjeugd;;Open Vld
Thourout;Norbert De Cuyper;;CD&V
Tielt;Els De Rammelaere;;N-VA (N-VA/Open Vld)
Vleteren;Stephan Mourisse;;LVP
Waregem;Kurt Vanryckeghem;;CD&V
Wervicq;Youro Casier;;sp.a
Wevelgem;Jan Seynhaeve;;CD&V
Wielsbeke;Jan Stevens;;CD&V (CD&V/N-VA)
Wingene;Hendrik Verkest;;CD&V
Ypres;Yves Leterme;;CD&V (CD&V/N-VA)
Zedelgem;Patrick Arnou;;CD&V (CD&V-NIEUW)
;2015:Annick Vermeulen;;
Zonnebeke;Dirk Cardoen;;INSPRAAK
Zuienkerke;Alain De Vlieghe;;Lijst Burgemeester
Zwevegem;Marc Doutreluigne;;Gemeentebelangen
