Commune;Bourgmestre;Parti ou liste
Arlon;Vincent Magnus3;cdH
Attert;Josy Arens;Ensemble cdH
Aubange;Véronique Biordi-Taddei3;Avec Vous ! (PS)
Bastogne;Benoît Lutgen3;cdH
Bertogne;Christian Glaude;Gestion Citoyenne (GC) cdH
Bertrix;Michel Hardy;Action (MR)
Bouillon;André Defat3;CAP (MR)
Chiny;Sébastian Pirlot;Député-Maire (PS)
Daverdisse;Maxime Léonet3;Unir, Gérer, Servir (UGS)
Durbuy;Philippe Bontemps;Bourgmestre cdH
Érezée;Michel Jacquet;IC (MR)
Étalle;Guy Charlier;Mayeur
Fauvillers;Nicolas Stilmant;Ecolo
Florenville;Sylvie Théodore3;Agir pour Vous cdH
Gouvy;Claudy Leruse3;Ensemble (PS)
Habay;Isabelle Poncelet3;Vouloir cdH
Herbeumont;Catherine Mathelin;Action cdH
Hotton;Jacques Chaplier3;Entente Communale (EC) cdH
Houffalize;Marc Caprasse;GS cdH
La Roche-en-Ardenne;Guy Gilloteaux3;Avec Vous (MR)
Léglise;Francis Demasy3;Renouveau Ensemble (R. Ensemble) (cdH)
Libin;Anne Laffut;Horizon 2018 (MR)
Libramont-Chevigny;Pierre Arnould;Chevigny (CHEVI) (MR)
Manhay;Robert Wuidar;MR
Marche-en-Famenne;André Bouchat;cdH
Martelange;Daniel Waty;Union Communale (UC) cdH
Meix-devant-Virton;Pascal François;Maïeur (PS)
Messancy;Roger Kirsch;Union Communale (UC) cdH
Musson;Michel Yans;PS
Nassogne;Marc Quirynen;IC cdH
Neufchâteau3;Dimitri Fourny;Agir Ensemble cdH
Paliseul;Freddy Arnould3;Autrement (MR)
Rendeux;Lucienne Dethier3;Gestion Citoyenne (GC) cdH
Rouvroy;Carmen Ramlot;Gestion Ouverture (GO) cdH
Saint-Hubert;Jean-Luc Henneaux3;Cap 2012 cdH
Saint-Léger;Alain Rongvaux;Liste Mayeur (PS)
Sainte-Ode;Joël Tanghe;Ensemble (PS)
Tellin;Jean-Pierre Magnette3;Ensemble, Développons l'Avenir (EDA) cdH
Tenneville;Marc Gauthier;IC cdH
Tintigny;Benoît Piedboeuf;À Venir (MR)
Vaux-sur-Sûre;Yves Besseling;Bourgmestre (MR)
Vielsalm;Élie Deblire;Bourgmestre cdH
Virton;François Culot;IC
Wellin;Anne Bughin-Weinquin3;cdH
